2026-04-10 10:36:48,226 | INFO | mcp.server.streamable_http | - | Terminating session: 69fb95dd4072480f84550a08f302cf94
2026-04-10 10:37:04,817 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: e7e3b756435247459b7b2e1b68a6bb61
2026-04-10 10:37:04,959 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:37:05,029 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:37:05,091 | INFO | mcp.server.streamable_http | - | Terminating session: e7e3b756435247459b7b2e1b68a6bb61
2026-04-10 10:37:32,585 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 6fab73dcd24d4ec599312cccbe047bbf
2026-04-10 10:37:32,707 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:37:32,781 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:37:32,852 | INFO | mcp.server.streamable_http | - | Terminating session: 6fab73dcd24d4ec599312cccbe047bbf
2026-04-10 10:38:27,825 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 7bb1884168af4a62b2bb22bc94aeacf6
2026-04-10 10:38:27,959 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:38:28,030 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:38:28,175 | INFO | mcp.server.streamable_http | - | Terminating session: 7bb1884168af4a62b2bb22bc94aeacf6
2026-04-10 10:39:20,741 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 92f090c612bf45a28ea50de6c5c39c89
2026-04-10 10:39:20,866 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:39:21,042 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:39:21,106 | INFO | mcp.server.streamable_http | - | Terminating session: 92f090c612bf45a28ea50de6c5c39c89
2026-04-10 10:40:13,955 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 05ca0ef5a49d40eabb460dd119530567
2026-04-10 10:40:14,087 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:40:14,156 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:40:14,225 | INFO | mcp.server.streamable_http | - | Terminating session: 05ca0ef5a49d40eabb460dd119530567
2026-04-10 10:40:44,752 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 75521eadcf9d439897630f61ecc0a614
2026-04-10 10:40:44,872 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:40:44,945 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:40:45,016 | INFO | mcp.server.streamable_http | - | Terminating session: 75521eadcf9d439897630f61ecc0a614
2026-04-10 10:41:00,900 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: a19e42f98d83455baba1464f83f17b3f
2026-04-10 10:41:01,023 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:41:01,093 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:41:01,909 | INFO | mcp.server.streamable_http | - | Terminating session: a19e42f98d83455baba1464f83f17b3f
2026-04-10 10:42:15,107 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: ed67ca1e320c4691a4c2e553a2a91d9d
2026-04-10 10:42:15,233 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:42:15,307 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:42:15,374 | INFO | mcp.server.streamable_http | - | Terminating session: ed67ca1e320c4691a4c2e553a2a91d9d
2026-04-10 10:42:25,814 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 2f1c3f4e19d54f528ad188c2da02aecc
2026-04-10 10:42:25,937 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:42:26,004 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:42:26,072 | INFO | mcp.server.streamable_http | - | Terminating session: 2f1c3f4e19d54f528ad188c2da02aecc
2026-04-10 10:43:08,056 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 5204567189a8491c80e506a0e72dc4f8
2026-04-10 10:43:08,318 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:08,382 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:08,452 | INFO | mcp.server.streamable_http | - | Terminating session: 5204567189a8491c80e506a0e72dc4f8
2026-04-10 10:43:18,674 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 352eab86f0b54debaede002f0fac4e26
2026-04-10 10:43:18,788 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:18,851 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:18,913 | INFO | mcp.server.streamable_http | - | Terminating session: 352eab86f0b54debaede002f0fac4e26
2026-04-10 10:43:24,502 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 8363c3ca06664c3799d2336274aa278d
2026-04-10 10:43:24,621 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:43:24,686 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:43:24,747 | INFO | mcp.server.streamable_http | - | Terminating session: 8363c3ca06664c3799d2336274aa278d
